mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
5.5,1.3,11.4,3.5,2,67.5,6,1007.9,1025.9,1009.5,1018.4,7,13.8,5.4,6.7,1
4.5,-1.1,10.9,3.7,1.6,46.8,3.7,1018.8,1031,1025.8,1029.5,10.6,17.85,2.1,4.1,0
6.4,2.2,10.7,3.2,1.8,54,5.1,1016.7,1031.2,1024.1,1027.3,3,10.76,8.6,4.4,1
4.6,2.7,9.7,4.5,1.9,76,6.4,1009.3,1024.3,1016.8,1019.9,5.1,10.3,8.1,6.5,1
4.5,1.4,9.6,4.2,1.5,63.3,5.3,1012.6,1024.7,1021,1023.3,5.1,10.22,5.9,4.3,0
4.6,0.7,9.7,5.9,2,65.8,5.5,1013.4,1025.5,1022.5,1024.1,7.9,16.45,4.6,5,0
6.4,2.7,12.2,4.2,2,51.3,4.6,1014.7,1027,1024,1025.3,9.8,18.11,2.8,7.2,0
8,2.2,15.5,4.2,1.4,45.8,4.9,1011.8,1025.3,1019.8,1022.3,7.5,13.92,3.3,6.6,0
12.4,5.2,18.8,4.3,1.8,60.5,9,1008.3,1021,1016.3,1018.6,6.6,14.17,5.9,10.6,0
17,13.6,22.1,5,2.3,58.8,11.1,1008.5,1020.7,1017.1,1018.6,7.9,15.46,6,14.8,0
12.4,8.4,16.6,4.8,2.1,92.1,13.3,1003.3,1017.5,1011,1013.5,0,1.47,9.8,12.2,1
7.1,3.6,12.2,3.1,1.9,46.9,4.6,1014.1,1028.7,1016.1,1024.7,11,21.16,1.4,9.6,0
6.6,0.5,14,3.8,1.5,48,4.6,1016.6,1030.1,1024.3,1027.2,9.1,17.87,4.4,7.9,0
8.2,5.4,12.5,2.9,1.2,55.9,6,1010.7,1025.3,1017.7,1021.2,0,7.19,9.8,8.8,1
8,6.2,10.4,4.2,2.5,64.5,6.9,1006.2,1021.3,1014.6,1016.7,0,3.33,9.5,7.5,1
4.7,1.6,9.1,4.8,3.4,39.9,3.4,1013,1025.2,1020.9,1023.7,5.4,14.36,6.9,5.2,0
2.1,1.1,5.3,3.3,1.7,64.1,4.5,1007.5,1023.7,1016,1018.2,0.4,6.13,9.9,3.2,1
4.9,0.6,11.6,5,2.2,61.5,5,1004.4,1017.4,1012.9,1015,10.7,20.45,1.5,7.3,0
6.1,1.8,12.5,4.2,2,55.3,4.9,1009.1,1022.1,1017.2,1019.7,8.7,19.08,4.6,7.6,0
7.6,4,13.1,4.4,2.1,61.9,6.5,1011.8,1024.3,1020.6,1022.3,7.2,15.35,6.3,9.5,0
9.6,4.6,16.9,3.5,1.7,65.6,7.5,1014,1026.4,1022.9,1024.5,9.5,19.12,3.4,11.2,0
11,5.3,18.1,4.4,1.9,64.5,7.8,1011.3,1024.1,1019,1021.7,9.1,19.06,3.6,12.2,0
13.3,7.7,20,3.9,1.6,61.1,9.3,1007.3,1020.4,1014.9,1017.6,7.9,15.98,2.6,12.6,0
14,9.4,19,4.8,2.2,66.4,10.4,1006.6,1018.1,1015.2,1016.8,5.2,13.94,4.3,13.1,0
15.4,11.8,21.1,4,1.6,66.3,11.2,1009.6,1021.7,1017.9,1019.8,7.5,14.86,4.9,15.1,0
14.8,9.8,21.9,3.8,1.7,55.6,8.8,1012.7,1025.2,1021.3,1023,9.9,20.01,0.5,14.9,0
14,9.3,20.1,4.5,1.9,52.9,8,1009.9,1023.5,1017.8,1020.1,7.9,17.08,4.4,14.5,0
15.6,11.7,18.5,3.5,1.5,68.8,12.3,1006.3,1018.5,1014.4,1016.4,1.3,7.25,9.1,14.3,0
